UrunAdi;CozunurlukBilgisi;Fiyat;EkranBoyutu;YenilemeHizi;EkranTeknolojisi;TeknikPuan;Sablon
"AOC Porsche Design Agon Pro PD49";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"240 Hz";"OLED";"100";"AOC Porsche Design Agon Pro PD49 (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 100'dir."
"Philips Evnia 49M2C8900/00";"5120x1440 piksel / UW-DQHD";"";"48.9 İnç";"240 Hz";"OLED";"99";"Philips Evnia 49M2C8900/00 (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.9 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 99'dir."
"LG UltraGear 45GX950A-B";"5120x2160 piksel / 5K UWUHD";"";"44.5 İnç";"165 Hz";"OLED";"98";"LG UltraGear 45GX950A-B (5120x2160 piksel / 5K UWUHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 44.5 İnç, yenileme hızı 165 Hz, ekran teknolojisi OLED ve teknik puanı 98'dir."
"MSI MPG 491CQPX QD-OLED";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"240 Hz";"OLED";"97";"MSI MPG 491CQPX QD-OLED (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 97'dir."
"MSI MPG 341CQR QD-OLED X36";"3440x1440 piksel / UWQHD";"";"34 İnç";"360 Hz";"OLED";"97";"MSI MPG 341CQR QD-OLED X36 (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 34 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 97'dir."
"LG UltraGear 27GX790B-B";"2560x1440 piksel / WQHD";"";"26.5 İnç";"540 Hz";"OLED";"97";"LG UltraGear 27GX790B-B (2560x1440 piksel / WQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 26.5 İnç, yenileme hızı 540 Hz, ekran teknolojisi OLED ve teknik puanı 97'dir."
"Asus ROG Swift OLED PG34WCDN";"3440x1440 piksel / UWQHD";"";"33.94 İnç";"360 Hz";"OLED";"97";"Asus ROG Swift OLED PG34WCDN (3440x1440 piksel / UWQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 33.94 İnç, yenileme hızı 360 Hz, ekran teknolojisi OLED ve teknik puanı 97'dir."
"ASUS ROG Swift OLED PG32UCDP";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"97";"ASUS ROG Swift OLED PG32UCDP (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 97'dir."
"Asus ROG Swift OLED Gen3 (PG32UCDM3)";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"96";"Asus ROG Swift OLED Gen3 (PG32UCDM3) (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 96'dir."
"Asus ROG Swift OLED PG49WCD";"5120x1440 piksel / UW-DQHD";"";"49 İnç";"144 Hz";"OLED";"96";"Asus ROG Swift OLED PG49WCD (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 49 İnç, yenileme hızı 144 Hz, ekran teknolojisi OLED ve teknik puanı 96'dir."
"Gigabyte AORUS FO32U2P";"3840x2160 piksel / 4K UHD";"";"31.5 İnç";"240 Hz";"OLED";"96";"Gigabyte AORUS FO32U2P (3840x2160 piksel / 4K UHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 31.5 İnç, yenileme hızı 240 Hz, ekran teknolojisi OLED ve teknik puanı 96'dir."
"Philips Evnia 49M2C8900L/00";"5120x1440 piksel / UW-DQHD";"";"48.9 İnç";"144 Hz";"OLED";"96";"Philips Evnia 49M2C8900L/00 (5120x1440 piksel / UW-DQHD) model monitörün fiyatı belirtilmemiştir. Ekran boyutu 48.9 İnç, yenileme hızı 144 Hz, ekran teknolojisi OLED ve teknik puanı 96'dir."
